"IEastVeloAcurc","IPS_LOCAL_CANFD_10ms_Frame0"
"INorthVeloAcurc","IPS_LOCAL_CANFD_10ms_Frame0"
"IUpVeloAcurc","IPS_LOCAL_CANFD_10ms_Frame1"
"IIpsPitchAcurc","IPS_LOCAL_CANFD_10ms_Frame0"
"IIpsRollAcurc","IPS_LOCAL_CANFD_10ms_Frame0"
"IIpsHeadAcurc","IPS_LOCAL_CANFD_10ms_Frame0"
"ITmspUtcMsg0","IPS_LOCAL_CANFD_10ms_Frame0"
"IRTKFusionFlag","IPS_LOCAL_CANFD_10ms_Frame0"
"IIpsSts","IPS_LOCAL_CANFD_10ms_Frame0"
"IIpsFltSts","IPS_LOCAL_CANFD_10ms_Frame1"
"IGnssMasAntVisibleSatNum","IPS_LOCAL_CANFD_200ms_Frame3"
"ITrShftLvrPos","IMCU_PTCANFD_20ms_ConFrP01"
"ITrShftLvrPosV","IMCU_PTCANFD_20ms_ConFrP01"
"IPtACCToqReqResp","IMCU_PTCANFD_10ms_FrP05"
"IAccelOvrd","IMCU_PTCANFD_10ms_FrP05"
"IWhlBrkPrsSts","IBS_CHCANFD_20ms_ConFrP01"
"IChACCAccReqResp","IBS_CHCANFD_20ms_ConFrP01"
"IVehSdslSts","IBS_CHCANFD_20ms_ConFrP01"
"IChACCReqFlrSts","IBS_CHCANFD_20ms_ConFrP01"
"IEPTAccelEfctvPos","IMCU_PTCANFD_10ms_ConFrP01"
"IEPTAccelActuPos","IMCU_PTCANFD_10ms_ConFrP01"
"IEPTAccelActuPosV","IMCU_PTCANFD_10ms_ConFrP01"
"IEPTTrOtptShaftTotMaxAvlblToq","IMCU_PTCANFD_10ms_FrP04"
"IEPTTrOtptShaftTotMaxAvlblToqV","IMCU_PTCANFD_10ms_FrP04"
"IBrkPdlAppdV","IBS_CHCANFD_20ms_ConFrP01"
"IBrkPdlAppd","IBS_CHCANFD_20ms_ConFrP01"
"IEPTTrOtptShaftTotToq","IMCU_PTCANFD_10ms_FrP04"
"IEPTTrOtptShaftTotToqV","IMCU_PTCANFD_10ms_FrP04"
"IDrvrStrgDlvrdToq","EPS_CHCANFD_10ms_ConFrP01"
"IDrvrStrgDlvrdToqV","EPS_CHCANFD_10ms_ConFrP01"
"IEPSAIPltAngRespSts","EPS_CHCANFD_10ms_ConFrP01"
"IEPSAIPltAngRespStsInh","EPS_CHCANFD_10ms_ConFrP01"
"IVehSdslStsV","IBS_CHCANFD_20ms_ConFrP01"
"IEPTTrOtptShaftTotMinAvlblToq","IMCU_PTCANFD_10ms_FrP04"
"IEPTTrOtptShaftTotMinAvlblToqV","IMCU_PTCANFD_10ms_FrP04"
"IEPBAppcnSts","IBS_CHCANFD_20ms_FrP04"
"IEPBSts","IBS_CHCANFD_20ms_FrP04"
"IEPBFlrSts","IBS_CHCANFD_20ms_FrP04"
"IEPBSwSts","IBS_CHCANFD_20ms_FrP04"
"IEPBSwStsV","IBS_CHCANFD_20ms_FrP04"
"IEPBAvlblySts","IBS_CHCANFD_20ms_FrP04"
"ITCSOpngMd","IBS_SFCANFD_20ms_FrP03"
"ITCSOpngSts","IBS_SFCANFD_20ms_FrP03"
"ITCSA","IBS_SFCANFD_20ms_FrP03"
"IVSEMd","IBS_SFCANFD_20ms_FrP03"
"IVSESts","IBS_SFCANFD_20ms_FrP03"
"IVSESysA","IBS_SFCANFD_20ms_FrP03"
"IEnDragToqRducnA","IBS_SFCANFD_20ms_FrP03"
"IHDCSysSts","IBS_SFCANFD_20ms_FrP03"
"IABSA","IBS_SFCANFD_20ms_FrP03"
"IABSF","IBS_SFCANFD_20ms_FrP03"
"IAutoHoldSysSts","IBS_SFCANFD_20ms_FrP03"
"IBrkDiscTemSts","IBS_CHCANFD_20ms_ConFrP01"
"IEPTRdy","IMCU_PTCANFD_20ms_ConFrP01"
"ISysPwrMd","ICC_INFOCAN_20ms_FrP02"
"ISysPwrMdV","ICC_INFOCAN_20ms_FrP02"
"IEPTBrkPdlDscrtInptSts","IMCU_PTCANFD_10ms_ConFrP01"
"IEPTBrkPdlDscrtInptStsV","IMCU_PTCANFD_10ms_ConFrP01"
"IEPSAIPltCpcty","EPS_CHCANFD_10ms_ConFrP01"
"IEPSFlrSts","EPS_CHCANFD_10ms_ConFrP01"
"ICHLKAHptResp","EPS_CHCANFD_10ms_ConFrP01"
"IEPSAIPltAvlLvl","EPS_CHCANFD_10ms_ConFrP01"
"ISysOpnlMd","ICC_INFOCAN_20ms_FrP02"
"IOtsdAirTemCrValV","ICC_INFOCANFD_250ms_FrP12"
"IOtsdAirTemCrVal","ICC_INFOCANFD_250ms_FrP12"
"IActuRoadWhlAng","EPS_CHCANFD_10ms_ConFrP01"
"IActuRoadWhlAngV","EPS_CHCANFD_10ms_ConFrP01"
"IHODSysSts","ICC_CHCANFD_50ms_FrP18"
"IHODDetnSts","ICC_CHCANFD_50ms_FrP18"
"IHODTchZone2Sts","ICC_CHCANFD_50ms_FrP18"
"IHODTchZone1Sts","ICC_CHCANFD_50ms_FrP18"
"IDrvrSbltAtc","SDM_SFCANFD_20ms_ConFrP01"
"IDrvrSbltAtcV","SDM_SFCANFD_20ms_ConFrP01"
"IFrtWiperParkPosA","BCM_BDCAN_50ms_FrP02"
"IFrtWshrPumpA","BCM_BDCAN_50ms_FrP02"
"IFrtWiperSwSts","BCM_BDCAN_50ms_FrP02"
