scenario_id,truth_source,road_level,weather,time,low_velocity_ratio[%],average_ego_velocity[m/s],average_velocity[m/s],flow[/s],area_occ[%]
20241111_144655_n000001,robosense,城区道路,晴天,afternoon,0.5462073534282875,14.506127381672824,5.346369983034859,0.3189664537397142,0.04712128962007022
20241111_155436_n000001,robosense,高速/快速路,晴天,afternoon,0.04285714285714286,21.653738803145206,19.405507379078948,0.5762256758311533,0.023055797760974085
20241111_155436_n000002,robosense,高速/快速路,晴天,afternoon,0.0,19.876653295771195,20.107750220547878,0.9105626776970869,0.027982840827825192
20241111_155436_n000003,robosense,高速/快速路,晴天,afternoon,0.19191249585681142,22.70662078963038,16.929004049788407,0.5630952037160842,0.041678894998258866
20241111_155436_n000004,robosense,高速/快速路,晴天,afternoon,0.5240464344941956,8.981445595943969,3.974470987678893,0.45475298563740935,0.11252175077611273
20241111_155436_n000005,robosense,高速/快速路,晴天,afternoon,0.13579017264276227,8.311727952096172,8.624891578708919,0.8527063125150349,0.09331323425063798
20241111_155436_n000006,robosense,高速/快速路,晴天,afternoon,0.0,17.238811742586154,15.981814617994685,1.0809633869209254,0.05395427975787237
20241111_155436_n000007,robosense,高速/快速路,晴天,afternoon,0.017224246439218285,12.977735237678294,12.320131780727284,1.2045204867604216,0.09162448439681052
20241111_155436_n000008,robosense,高速/快速路,晴天,afternoon,0.0241801921165949,14.015364992966559,13.66161651026966,1.0402658150941377,0.08677128357898231
20241111_155436_n000009,robosense,高速/快速路,晴天,afternoon,0.01690420947961551,15.83075603575459,14.357235932475495,0.8141360157971578,0.0542667579352623
20241111_155436_n000010,robosense,高速/快速路,晴天,afternoon,0.1077943615257048,7.287674112656746,6.798856398831811,0.7974740760457524,0.09751938792404526
20241111_155436_n000011,robosense,高速/快速路,晴天,afternoon,0.4165283770328576,7.240046317124394,5.911505971411854,0.7415650213791708,0.14961941063308185
20241111_155436_n000013,robosense,城区道路,晴天,afternoon,0.44267726971504306,10.733448154435855,3.8773169626218493,0.178445042883496,0.04334432660413827
20241111_155436_n000015,robosense,高速/快速路,晴天,dusk,0.0,19.068135826968955,17.371439196873677,1.139814535514963,0.07623134370475486
20241111_155436_n000016,robosense,高速/快速路,晴天,dusk,0.0,19.095741523056233,17.966108568589288,1.2350233359550693,0.05285377707623382
20241111_155436_n000017,robosense,高速/快速路,晴天,dusk,0.0,19.690638416074837,19.36754813283649,1.028770066658215,0.03952915793180307
20241111_155436_n000018,robosense,高速/快速路,晴天,dusk,0.0,12.494033542058325,11.590482311459647,0.8768860962904577,0.09886479791884217
20241111_155436_n000020,robosense,高速/快速路,晴天,dusk,0.0,21.205602644609623,16.862800474495437,0.5459249883393807,0.03305527754743813
20241111_155436_n000021,robosense,高速/快速路,晴天,dusk,0.0,17.158491766895477,13.047395018751985,0.5500769822626296,0.040907931254141966
20241111_155436_n000022,robosense,高速/快速路,晴天,dusk,0.0,16.902389815349814,16.94168643450722,1.0701677453728045,0.05828714705467482
20241111_155436_n000023,robosense,高速/快速路,晴天,dusk,0.24078379275988043,7.565954892236938,5.473273512806299,0.6375533943739835,0.1515813729660511
20241111_155436_n000025,robosense,高速/快速路,晴天,dusk,0.8461538461538461,13.500219308096787,3.629513122789405,0.2108139094835014,0.04419850304952291
20241111_155436_n000026,robosense,高速/快速路,晴天,dusk,0.0,21.703815634549652,19.382320343706404,0.7016420654529263,0.04697261869802381
20241111_155436_n000027,robosense,高速/快速路,晴天,night,0.09353233830845771,17.55850934685694,12.505207001174673,0.46290421535943105,0.060462520414350074
20241111_155436_n000028,robosense,高速/快速路,晴天,night,0.06509465293922286,13.883153563409673,5.814414938132302,0.3855745923389737,0.05367225285625118
20241111_155436_n000030,robosense,高速/快速路,晴天,night,0.0,19.650210781552445,14.944245077846105,0.41277135809862514,0.026590239945094803
20241111_155436_n000031,robosense,高速/快速路,晴天,night,0.0,18.709930873992274,17.5563682984066,0.8028603018707028,0.043730726973744825
20241111_155436_n000032,robosense,高速/快速路,晴天,night,0.12276045122760451,15.874662106679175,12.561572653041452,0.592171658551069,0.04545867945838592
20241111_155436_n000033,robosense,高速/快速路,晴天,night,0.06372386325921009,24.188703653703385,13.814979163386493,0.3902870077486622,0.016225236756818848
20241111_155436_n000034,robosense,高速/快速路,晴天,night,0.0,23.59081257165349,18.67061723988398,0.49834585208301146,0.020898402192124972
20241111_192515_n000002,robosense,城区道路,晴天,night,0.26244193762441936,11.559636765109811,6.618027016911362,0.25483811881344454,0.031892255500762516
20241111_192515_n000003,robosense,城区道路,晴天,night,0.4810882548108825,12.513987314213267,7.141678054654974,0.409635600838839,0.07251172060730801
20241111_192515_n000004,robosense,城区道路,晴天,night,0.10823373173970784,11.192907103743025,9.50234142159136,0.6305943170784142,0.04635847536614353
20241111_192515_n000005,robosense,城区道路,晴天,night,0.33322259136212623,9.554311812072473,6.739807790428001,0.37541919946822466,0.0635752400269273
20241111_192515_n000007,robosense,城区道路,晴天,night,0.2723051409618574,13.088075661181099,5.914764698200324,0.189264205487193,0.04101552377968079
20241111_192515_n000009,robosense,城区道路,晴天,night,0.5690571049136787,9.304878011322904,3.646597440663761,0.3626245975519572,0.0966056449911092
20241111_192515_n000013,robosense,城区道路,晴天,night,0.4897214854111406,9.424723091336176,3.2146704726143174,0.15299615142317965,0.02229921895574607
20241111_192515_n000014,robosense,城区道路,晴天,night,0.48241539482415396,7.201910432638266,3.158814765718159,0.26851652177193214,0.046640691807236505
